ID,ElevationIV,SLPangleIV,ProflieCVTIV,RoadDISTIV,LINEDISTIV,RSMTIV,LanduseIV,TopographyIV,NDVIIV,Class
9568,0.254,0.0543,0.0367,0.0032,0.009,0.000932773,0.3149,0.095,0.5389,landslide
13992,0.3338,0.0002,0.0367,0.0362,0.009,0.1029,0.1381,0.0511,0.0079,landslide
14509,0.254,0.0543,0.0367,0.4077,0.009,0.000932773,0.2328,0.095,0.006,landslide
15067,0.254,0.0543,0.0367,0.1801,0.1484,0.000932773,0.3193,0.0511,0.1678,landslide
16194,0.3338,0.0354,0.0367,0.1801,0.009,0.1029,0.1381,0.0511,0.006,landslide
25499,0.254,0.0543,0.0367,0.1801,0.1484,0.000932773,0.3193,0.095,0.1678,landslide
31029,0.3338,0.0543,0.0367,0.4077,0.009,0.1029,0.2328,0.0511,0.006,landslide
32675,0.3338,0.0543,0.0367,0.1801,0.009,0.1029,0.3149,0.0511,0.1678,landslide
37023,0.254,0.0543,0.0367,0.4077,0.1484,0.1029,0.3193,0.095,0.006,landslide
37025,0.254,0.0543,0.0367,0.4077,0.1484,0.1029,0.3193,0.095,0.1678,landslide
38122,0.254,0.0543,0.0367,0.1801,0.1484,0.1029,0.2328,0.095,0.1678,landslide
40868,0.254,0.0543,0.0367,0.4077,0.1484,0.000932773,0.3149,0.095,0.1678,landslide
52957,0.254,0.0543,0.0367,0.1801,0.1484,0.0174,0.3149,0.0511,0.2815,landslide
43606,0.254,0.0002,0.0367,0.0032,0.1484,0.000932773,0.3193,0.095,0.2815,landslide
55189,0.3338,0.0543,0.0367,0.4077,0.009,0.1029,0.2328,0.0511,0.1678,landslide
60631,0.254,0.0543,0.0367,0.4077,0.1484,0.1029,0.1381,0.095,0.006,landslide
60646,0.254,0.0002,0.0682,0.4077,0.1484,0.0174,0.3149,0.0511,0.0079,landslide
65024,0.254,0.0543,0.0367,0.0032,0.1484,0.000932773,0.3149,0.095,0.006,landslide
84787,0.254,0.0002,0.0367,0.0362,0.1484,0.000932773,0.3193,0.095,0.2815,landslide
72189,0.254,0.0002,0.0367,0.0362,0.1484,0.0174,0.3149,0.0511,0.0079,landslide
72200,0.3338,0.0856,0.0367,0.1801,0.009,0.0174,0.3149,0.0511,0.0079,landslide
77112,0.3338,0.0543,0.0367,0.4077,0.1484,0.1029,0.3149,0.0511,0.0079,landslide
102912,0.254,0.0543,0.0367,0.4077,0.1484,0.000932773,0.3193,0.095,0.1678,landslide
86441,0.254,0.0543,0.0367,0.0032,0.1484,0.000932773,0.3149,0.095,0.2815,landslide
96908,0.3338,0.0354,0.0682,0.1801,0.1484,0.1029,0.1381,0.0511,0.1678,landslide
98519,0.254,0.0002,0.0367,0.1801,0.1484,0.000932773,0.3149,0.095,0.5389,landslide
101843,0.3338,0.0002,0.0367,0.4077,0.1484,0.0417,0.1381,0.0511,0.1678,landslide
110063,0.3338,0.0543,0.0367,0.0032,0.1484,0.0417,0.3193,0.0511,0.5389,landslide
111735,0.254,0.0002,0.0367,0.0032,0.1484,0.0174,0.3149,0.0511,0.006,landslide
112800,0.3338,0.0543,0.0367,0.1801,0.1484,0.000932773,0.3149,0.0511,0.2815,landslide
112948,0.254,0.0543,0.0367,0.1801,0.1484,0.000932773,0.0104,0.095,0.1678,landslide
113897,0.3338,0.0543,0.0367,0.0032,0.1484,0.000932773,0.3193,0.0511,0.006,landslide
114046,0.0254,0.0002,0.0682,0.1801,0.1484,0.000932773,0.3149,0.095,0.1678,landslide
116783,0.254,0.0354,0.0367,0.4077,0.1484,0.0174,0.3149,0.095,0.2815,landslide
117884,0.254,0.0543,0.0367,0.1801,0.1484,0.0174,0.2328,0.095,0.1678,landslide
119955,0.3338,0.0354,0.0367,0.1801,0.1484,0.1029,0.3193,0.0511,0.2815,landslide
121704,0.254,0.0002,0.0682,0.4077,0.1484,0.0174,0.3149,0.095,0.1678,landslide
138617,0.3338,0.0543,0.0682,0.0032,0.009,0.1029,0.3193,0.0511,0.1678,landslide
124457,0.254,0.0002,0.0367,0.4077,0.1484,0.0174,0.3149,0.095,0.006,landslide
124465,2.0808,0.0002,0.0367,0.0362,0.009,0.000932773,0.3149,0.095,0.2815,landslide
127071,0.254,0.0543,0.0367,0.4077,0.1484,0.000932773,0.3193,0.0511,0.2815,landslide
128186,0.3338,0.0002,0.0367,0.1801,0.1484,0.0417,0.3193,0.0511,0.1678,landslide
128293,0.254,0.0002,0.0682,0.4077,0.1484,0.000932773,0.3149,0.095,0.006,landslide
133189,0.254,0.0002,0.0367,0.4077,0.1484,0.0417,0.3149,0.095,0.1678,landslide
135589,2.0808,0.0543,0.0367,0.2612,0.1484,0.000932773,0.3149,0.095,0.1678,landslide
134836,0.254,0.0002,0.0682,0.1801,0.1484,0.0417,0.2328,0.095,0.1678,landslide
138711,0.254,0.0543,0.0367,0.0032,0.1484,0.0174,0.3149,0.095,0.006,landslide
139700,0.254,0.0543,0.0682,0.0032,0.1484,0.000932773,0.3193,0.0511,0.1678,landslide
139798,0.254,0.0002,0.0367,0.4077,0.1484,0.0174,0.3193,0.095,0.006,landslide
139964,0.0254,0.0543,0.0367,0.1801,0.009,0.000932773,0.3193,0.095,0.0873,landslide
143622,0.254,0.0002,0.0367,0.0362,0.1484,0.0005,0.3149,0.095,0.5389,landslide
145237,0.254,0.0002,0.0682,0.0032,0.1484,0.0005,0.3149,0.0511,0.5389,landslide
145244,0.254,0.0002,0.0367,0.1801,0.1484,0.0174,0.3149,0.0511,0.0079,landslide
145830,0.254,0.0543,0.0367,0.4077,0.1484,0.0417,0.3193,0.095,0.006,landslide
146860,0.3338,0.0543,0.0367,0.1801,0.1484,0.1029,0.1025,0.0511,0.1678,landslide
147406,0.3338,0.0543,0.0367,0.4077,0.1484,0.1029,0.3193,0.0511,0.1678,landslide
151841,0.254,0.0002,0.0682,0.4077,0.009,0.0174,0.2328,0.095,0.5389,landslide
153515,0.254,0.0856,0.0682,0.0032,0.1484,0.0417,0.3149,0.095,0.5389,landslide
154228,0.254,0.0543,0.0367,0.4077,0.009,0.1029,0.1381,0.095,0.0079,landslide
157265,0.254,0.0856,0.0682,0.0032,0.1484,0.000932773,0.3149,0.0511,0.0079,landslide
157329,0.254,0.0002,0.0367,0.4077,0.1484,0.0005,0.3193,0.095,0.006,landslide
158996,0.254,0.0543,0.0367,0.0032,0.1484,0.0417,0.3193,0.095,0.1678,landslide
159546,0.254,0.0002,0.0367,0.0032,0.1484,0.0417,0.3193,0.095,0.2815,landslide
160065,0.254,0.0002,0.0367,0.4077,0.1484,0.0174,0.3149,0.095,0.1678,landslide
161706,0.254,0.0002,0.0367,0.4077,0.1484,0.0174,0.2328,0.0511,0.0079,landslide
162212,0.254,0.0543,0.0367,0.4077,0.1484,0.1029,0.3193,0.0511,0.1678,landslide
165175,0.0254,0.0002,0.0682,0.0362,0.0041,0.0005,0.3149,0.095,0.5389,landslide
160113,0.254,0.0856,0.0367,0.0362,0.1484,0.0174,0.3193,0.095,0.5389,landslide
160581,0.3338,0.0354,0.0367,0.0032,0.009,0.1029,0.2328,0.0511,0.1678,landslide
160613,0.254,0.0002,0.0367,0.1801,0.1484,0.0174,0.2328,0.095,0.1678,landslide
162259,0.254,0.0002,0.0682,0.0032,0.1484,0.0174,0.3149,0.095,0.1678,landslide
163964,0.254,0.0002,0.0367,0.0032,0.009,0.000932773,0.1381,0.095,0.006,landslide
165728,0.254,0.0002,0.0682,0.0032,0.009,0.0005,0.0183,0.095,0.006,landslide
166062,0.3338,0.0543,0.0367,0.4077,0.1484,0.1029,0.3149,0.0511,0.1678,landslide
166715,0.254,0.0002,0.0367,0.4077,0.009,0.000932773,0.3149,0.095,0.5389,landslide
168863,0.254,0.0002,0.0367,0.4077,0.009,0.0417,0.3149,0.095,0.006,landslide
169883,0.254,0.0856,0.0682,0.2612,0.1484,0.000932773,0.3149,0.0511,0.2815,landslide
171640,0.254,0.0002,0.0367,0.4077,0.1484,0.000932773,0.2328,0.095,0.1678,landslide
172192,0.254,0.0002,0.0367,0.4077,0.009,0.000932773,0.3149,0.095,0.1678,landslide
172694,0.3338,0.0543,0.0367,0.1801,0.009,0.0417,0.3149,0.095,0.1678,landslide
173367,0.0254,0.0543,0.0682,0.0362,0.1484,0.0417,0.3149,0.095,0.1678,landslide
174275,0.254,0.0543,0.0682,0.1077,0.1484,0.000932773,0.3149,0.0511,0.1678,landslide
174534,0.254,0.0543,0.0367,0.4077,0.1484,0.000932773,0.3193,0.095,0.0079,landslide
174851,0.3338,0.0543,0.0367,0.1801,0.009,0.1029,0.2328,0.0511,0.2815,landslide
175021,0.254,0.0543,0.0367,0.0032,0.1484,0.0005,0.3149,0.095,0.006,landslide
175439,0.3338,0.0543,0.0367,0.4077,0.009,0.0417,0.1381,0.095,0.2815,landslide
176548,0.254,0.0002,0.0682,0.1801,0.009,0.0417,0.3149,0.095,0.2815,landslide
177089,0.3338,0.0543,0.0367,0.4077,0.009,0.0417,0.3149,0.095,0.1678,landslide
183199,0.254,0.0002,0.0682,0.0032,0.009,0.0005,0.3193,0.095,0.1678,landslide
178745,0.254,0.0543,0.0682,0.4077,0.1484,0.0417,0.2328,0.095,0.2815,landslide
179244,0.3338,0.0354,0.0367,0.4077,0.1484,0.1029,0.2328,0.0511,0.2815,landslide
179265,0.3338,0.0002,0.0367,0.1801,0.1484,0.0417,0.3149,0.0511,0.0079,landslide
179324,0.254,0.0002,0.0367,0.0362,0.1484,0.000932773,0.3149,0.095,0.0079,landslide
180361,0.3338,0.0002,0.0682,0.0032,0.1484,0.0417,0.3149,0.0511,0.2815,landslide
180389,0.254,0.0002,0.0367,0.0032,0.009,0.0417,0.0183,0.095,0.2815,landslide
180449,0.254,0.0856,0.0367,0.1801,0.009,0.0174,0.3149,0.095,0.2815,landslide
180945,0.254,0.0002,0.0367,0.1801,0.1484,0.0005,0.3193,0.095,0.006,landslide
182125,0.0254,0.0002,0.0367,0.1801,0.1484,0.0174,0.3149,0.095,0.2815,landslide
183268,0.254,0.0002,0.0367,0.4077,0.1484,0.0005,0.3149,0.095,0.5389,landslide
183081,0.3338,0.0856,0.0682,0.1801,0.1484,0.1029,0.3149,0.0511,0.006,landslide
187020,0.254,0.0002,0.0682,0.0362,0.1484,0.000932773,0.3149,0.095,0.1678,landslide
184191,0.3338,0.0543,0.0682,0.1801,0.1484,0.0417,0.3149,0.0511,0.006,landslide
184357,0.254,0.0543,0.0367,0.4077,0.009,0.0174,0.2328,0.095,0.0079,landslide
185841,0.3338,0.0543,0.0367,0.1801,0.1484,0.0417,0.3193,0.0511,0.1678,landslide
186376,0.3338,0.0354,0.0367,0.1801,0.1484,0.1029,0.1025,0.0511,0.006,landslide
186607,0.254,0.0543,0.0367,0.1801,0.1484,0.000932773,0.1381,0.095,0.1678,landslide
187536,0.254,0.0002,0.0367,0.4077,0.009,0.0174,0.3149,0.095,0.0079,landslide
189199,0.254,0.0543,0.0367,0.1801,0.1484,0.000932773,0.0183,0.095,0.1678,landslide
194281,0.254,0.0543,0.0367,0.4077,0.1484,0.000932773,0.1381,0.095,0.1678,landslide
190843,0.254,0.0543,0.0367,0.1801,0.009,0.0174,0.3193,0.095,0.2815,landslide
193730,0.254,0.0543,0.0367,0.4077,0.1484,0.000932773,0.1381,0.095,0.1678,landslide
192488,0.254,0.0543,0.0367,0.4077,0.009,0.0174,0.2328,0.095,0.0079,landslide
193143,0.254,0.0543,0.0367,0.0032,0.009,0.0174,0.3193,0.095,0.1678,landslide
193509,0.3338,0.0543,0.0682,0.0032,0.1484,0.1029,0.1381,0.0511,0.1678,landslide
194200,0.254,0.0856,0.0367,0.1801,0.1484,0.0174,0.3149,0.095,0.5389,landslide
194772,0.254,0.0856,0.0367,0.1801,0.0041,0.2263,0.3149,0.095,0.5389,landslide
195874,0.254,0.0002,0.0367,0.4077,0.009,0.0174,0.3149,0.095,0.1678,landslide
195705,0.3338,0.0354,0.0367,0.4077,0.1484,0.1029,0.1025,0.0511,0.2815,landslide
196419,0.254,0.0856,0.0367,0.4077,0.009,0.0417,0.3149,0.095,0.1678,landslide
198077,0.254,0.0543,0.0367,0.0032,0.009,0.0174,0.2328,0.095,0.006,landslide
200669,0.3338,0.0543,0.0367,0.0362,0.1484,0.0174,0.3193,0.0511,0.5389,landslide
200670,0.254,0.0543,0.0367,0.0362,0.1484,0.0174,0.3193,0.0511,0.006,landslide
199564,0.3338,0.0543,0.0367,0.4077,0.009,0.0174,0.3149,0.0511,0.5389,landslide
201222,0.254,0.0856,0.0367,0.0362,0.1484,0.0174,0.3149,0.095,0.2815,landslide
201779,0.254,0.0856,0.0367,0.0032,0.1484,0.0417,0.3149,0.095,0.1678,landslide
197391,0.254,0.0002,0.0682,0.0032,0.1484,0.0417,0.3193,0.095,0.006,landslide
197908,0.3338,0.0543,0.0367,0.4077,0.1484,0.0174,0.3149,0.0511,0.1678,landslide
197909,0.3338,0.0543,0.0367,0.4077,0.1484,0.0174,0.3193,0.0511,0.2815,landslide
198043,0.254,0.0002,0.0367,0.1801,0.1484,0.0174,0.3193,0.095,0.006,landslide
198444,0.3338,0.0543,0.0367,0.1801,0.1484,0.1029,0.2328,0.0511,0.006,landslide
199146,0.254,0.0856,0.0367,0.1801,0.009,0.0005,0.3149,0.095,0.2815,landslide
200244,0.254,0.0856,0.0367,0.1801,0.009,0.0005,0.3149,0.095,0.0079,landslide
200638,0.3338,0.0543,0.0367,0.1801,0.1484,0.0174,0.1381,0.0511,0.1678,landslide
202831,0.3338,0.0543,0.0367,0.4077,0.1484,0.000932773,0.1381,0.0511,0.006,landslide
201352,0.254,0.0002,0.0367,0.0032,0.009,0.0174,0.3193,0.095,0.1678,landslide
201366,0.254,0.0543,0.0682,0.4077,0.009,0.0417,0.2328,0.095,0.1678,landslide
204119,0.254,0.0543,0.0682,0.1801,0.1484,0.2263,0.3193,0.095,0.006,landslide
216636,0.254,0.0856,0.0682,0.4077,0.1484,0.000932773,0.0183,0.095,0.1678,landslide
219327,0.254,0.0002,0.0367,0.0032,0.1484,0.0174,0.3149,0.0511,0.006,landslide
228633,0.3338,0.0354,0.0367,0.1801,0.1484,0.1029,0.1381,0.0511,0.2815,landslide
229217,0.254,0.0002,0.0682,0.1801,0.009,0.0174,0.3193,0.095,0.006,landslide
229780,0.254,0.0002,0.0367,0.2612,0.0041,0.0005,0.3193,0.095,0.006,landslide
230790,0.254,0.0002,0.0367,0.4077,0.009,0.000932773,0.3149,0.095,0.2815,landslide
243506,0.254,0.0002,0.0367,0.1801,0.009,0.0174,0.3149,0.095,0.5389,landslide
243947,0.254,0.0543,0.0367,0.4077,0.5719,0.000932773,0.1381,0.095,0.0873,landslide
251086,0.254,0.0543,0.0367,0.4077,0.5719,0.000932773,0.3149,0.095,0.5389,landslide
253294,0.254,0.0002,0.0682,0.4077,0.0041,0.000932773,0.3193,0.095,0.1678,landslide
264308,0.254,0.0543,0.0367,0.1801,0.1484,0.000932773,0.2328,0.2153,0.0079,landslide
261073,0.254,0.0002,0.0682,0.4077,0.009,0.0174,0.3193,0.095,0.1678,landslide
262665,0.254,0.0543,0.0367,0.1801,0.1484,0.000932773,0.3193,0.2153,0.1678,landslide
262683,0.3338,0.0002,0.0367,0.1801,0.1484,0.0417,0.3149,0.2153,0.1678,landslide
263207,0.254,0.0543,0.0367,0.4077,0.009,0.000932773,0.3193,0.2153,0.1678,landslide
263211,0.254,0.0543,0.0367,0.4077,0.1484,0.000932773,0.2328,0.2153,0.1678,landslide
264897,0.254,0.0002,0.0367,0.4077,0.1484,0.0417,0.3149,0.2153,0.5389,landslide
